Timestamp,What is your birth year? (e.g. 1998),Gender?,  What is your highest level of education?  ,  What industry do you work in?  ,  How would you rate your technical knowledge of AI?  ,  How often do you use AI-powered tools?  ,"What AI-powered services do you use most frequently? 
(You can choose multiple) ",  Why do you typically use AI?  ,"Have you noticed AI-generated content (e.g., news, ads, recommendations) influencing your choices in any of the following?   ",Do you think that AI recommendation based on your own choice is helping you?,Do you think that we should be more concern about using AI system?,"Do you think we should trust AI to make critical decisions in  Healthcare (e.g., AI diagnosing diseases)?",How much do you trust AI to make critical decisions in Healthcare?,"Do you think we should trust AI to make critical decisions in  Finance (e.g., AI approving loans or detecting fraud)?",How much do you trust AI to make critical decisions in Finance?,"Do you think we should trust AI to make critical decisions in  Hiring & Recruitment (e.g., AI screening job applications)?",How much do you trust AI to make critical decisions in Hiring and Recruitment?,"Do you think we should trust AI to make critical decisions in  Education (e.g., AI-assisted learning, grading systems)?",How much do you trust AI to make critical decisions in Education?,"Do you think we should trust AI to make critical decisions in  Customer Service (e.g., AI chatbots solving queries)?",How much do you trust AI to make critical decisions in Customer Service?,Have you ever experienced an AI-driven decision that felt unfair or biased?,Do you believe AI will replace jobs in your industry within the next 10 years?  ,Do you believe AI will create more jobs than it eliminates?  ,Are you actively learning new skills to adapt to AI-driven changes in the job market?  ,What is your biggest concern about AI?  ,Do you think AI should be more strictly regulated by governments?  ,Do you believe AI should be required to disclose when its content is AI-generated?  ,"How do you feel about AI making creative works (e.g., writing books, making music, generating art)?  "
2025/04/19 8:32:36 am EET,2003,Male,HSC,Student,Beginner,Weekly- A few times,ChatGPT;Gemini;Google Assistant,Data-Analysis;Personal-Use;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,3,Maybe,3,Maybe,3,Maybe,4,Yes,4,Yes,Yes,Maybe,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/04/19 8:32:52 am EET,2000,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant;Grammarly,Data-Analysis;Personal-Use;Assignment;Education,Social media content consumption;Career decisions;Education/learning habits,Maybe,Maybe,No,5,No,5,Yes,3,Maybe,3,Yes,3,Maybe,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 8:42:05 am EET,2004,Male,HSC,Education,Intermediate,Daily,ChatGPT;Gemini;Siri,Automation;Data-Analysis;Personal-Use;Education;Project works,Online shopping;Education/learning habits,Maybe,Yes,Yes,3,Yes,3,No,3,Yes,3,Yes,2,Yes,Yes-but-not-completely,No,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI replacing human creativity and originality,"Sometimes, but not too restrictive","No, it is unnecessary",It depends on how AI is used
2025/04/19 8:58:11 am EET,2005,Male,Bachelor,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Siri;Google Assistant;Grammarly,Data-Analysis;Assignment;Education,Online shopping;Education/learning habits,Maybe,Maybe,No,2,No,2,Maybe,3,Maybe,3,Maybe,3,Maybe,Unsure,No,No,AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 8:58:28 am EET,2005,Female,HSC,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Google Assistant,Data-Analysis;Coding;Personal-Use;Assignment;Education;,Online shopping;Education/learning habits,Maybe,Yes,No,2,No,2,Yes,4,No,3,Maybe,2,No,Yes-but-not-completely,Maybe,Yes,Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 8:58:34 am EET,2003,Male,HSC,Student,None,Daily,ChatGPT;None-above,Education,None of the above,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,Yes,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 9:04:20 am EET,2004,Male,Bachelor,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Siri,Data-Analysis;Personal-Use;Education,Online shopping;Social media content consumption,Maybe,Maybe,Maybe,2,No,3,Maybe,2,No,1,No,1,Maybe,Yes-but-not-completely,No,No-Effect-in-my-career,Privacy and data security risks,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",AI-generated content is concerning and threatens human creativity
2025/04/19 9:16:25 am EET,1998,Male,Bachelor,Student,Expert,Daily,ChatGPT;Siri;Google Assistant,Automation;Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,Yes,5,Yes,5,Yes,5,Yes,5,Yes,5,Yes,Yes,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions;Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 10:12:04 am EET,2002,Male,Bachelor,Technology-IT,Intermediate,Daily,ChatGPT;Grammarly,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions,Yes,Yes,Yes,2,Maybe,2,No,2,Yes,3,Yes,2,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 10:17:01 am EET,2005,Male,HSC,Student,Intermediate,Weekly- A few times,ChatGPT;Deep Seek,Data-Analysis;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Maybe,Maybe,Maybe,3,Yes,1,Yes,2,Maybe,2,Yes,1,No,Yes-but-not-completely,Yes,No-Effect-in-my-career,AI bias in decision-making,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 10:20:03 am EET,2001,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant,Data-Analysis;Personal-Use;Assignment;Education,Career decisions;Education/learning habits,Yes,Yes,Maybe,3,Maybe,3,Yes,4,Yes,4,Yes,5,No,Unsure,Yes,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 10:26:47 am EET,2000,Male,Bachelor,Student,Intermediate,Daily,ChatGPT;Deep Seek;Google Assistant,Personal-Use;Education,Social media content consumption;Education/learning habits,Maybe,Yes,Yes,4,Maybe,3,No,2,Yes,4,Yes,4,Maybe,Unsure,Maybe,No,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 10:27:36 am EET,1998,Male,Bachelor,Student,Beginner,Daily,ChatGPT,Automation,Social media content consumption,Maybe,Yes,Yes,4,Maybe,3,Maybe,3,Yes,1,Maybe,3,Yes,Yes-but-not-completely,Maybe,Yes,Job loss and automation replacing workers,"No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 10:31:59 am EET,2001,Male,Bachelor,Education,None,Daily,ChatGPT,Education,Education/learning habits,No,Yes,No,1,Yes,4,Maybe,3,Maybe,3,Yes,4,No,No,Yes,Yes,"None, I am optimistic about AI","Sometimes, but not too restrictive","No, it is unnecessary",It depends on how AI is used
2025/04/19 10:49:36 am EET,2003,Male,Bachelor,Student,Beginner,Daily,ChatGPT;Gemini;Deep Seek;Google Assistant;Grammarly,Data-Analysis;Coding;Personal-Use;Assignment;Education,Education/learning habits,Yes,Yes,No,3,Maybe,3,Maybe,3,Maybe,3,No,3,Yes,Yes-but-not-completely,No,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 10:59:03 am EET,2005,Male,HSC,Student,Beginner,Daily,ChatGPT;Gemini;Google Assistant,Automation;Data-Analysis;Coding;Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,Maybe,1,Yes,1,Maybe,2,Yes,1,Yes,1,Maybe,Yes-but-not-completely,Yes,No-Effect-in-my-career,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 11:05:05 am EET,2001,Female,Bachelor,Education,None,Weekly- A few times,Gemini,Data-Analysis,Online shopping,Maybe,Yes,Yes,2,Yes,3,Yes,3,Maybe,3,No,3,No,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 11:14:48 am EET,2001,Male,Bachelor,Student,None,Weekly- A few times,ChatGPT;Gemini;Google Assistant,Personal-Use;Assignment;Education,Social media content consumption;Education/learning habits,Maybe,Maybe,Maybe,2,Yes,4,Maybe,3,Yes,4,Yes,3,Maybe,Yes,Yes,Yes,Job loss and automation replacing workers;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 11:22:34 am EET,2003,Female,HSC,Student,Beginner,Daily,ChatGPT;Gemini,Education,Career decisions,Yes,Yes,Yes,4,Yes,3,Yes,5,Yes,5,Yes,2,No,Yes,Yes,Yes,AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",AI-generated content is exciting and beneficial
2025/04/19 12:38:46 pm EET,2001,Female,Bachelor,Student,Intermediate,Daily,ChatGPT;Gemini;Siri;Google Assistant,Personal-Use;Assignment;Education,Education/learning habits,Yes,Yes,Yes,3,Yes,3,Yes,3,Yes,3,Yes,3,No,Yes,Yes,Yes,AI replacing human creativity and originality,"No, AI should be allowed to develop freely","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 1:46:54 pm EET,1999,Male,Bachelor,Student,None,Monthly- A few times,ChatGPT,Personal-Use,None of the above,Maybe,Maybe,Maybe,1,Maybe,1,Maybe,1,Maybe,1,Maybe,1,Maybe,Unsure,Maybe,No-Effect-in-my-career,"None, I am optimistic about AI","No, AI should be allowed to develop freely","No, it is unnecessary",It depends on how AI is used
2025/04/19 1:52:43 pm EET,2001,Male,Bachelor,Student,None,Weekly- A few times,ChatGPT;Gemini;Deep Seek,Assignment;Education,None of the above,Maybe,Yes,No,2,No,2,No,1,Maybe,3,No,1,No,Yes-but-not-completely,No,No,AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 3:11:05 pm EET,2003,Female,Bachelor,Student,Beginner,Weekly- A few times,ChatGPT,Personal-Use;Assignment;Education,Education/learning habits,Maybe,Yes,No,3,No,3,No,2,No,3,Yes,3,Yes,Unsure,Maybe,No,AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 3:50:16 pm EET,2001,Male,Bachelor,Student,Beginner,Weekly- A few times,ChatGPT;Gemini;Grammarly,Assignment;Education,Social media content consumption,Yes,Yes,No,2,No,2,Maybe,3,Yes,4,Yes,4,No,Yes-but-not-completely,No,No-Effect-in-my-career,AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 4:39:06 pm EET,1997,Male,HSC,Others,Intermediate,Never,ChatGPT,Education,Education/learning habits,Maybe,Maybe,No,4,Maybe,5,Yes,3,Yes,5,Yes,3,No,Unsure,Maybe,No-Effect-in-my-career,AI bias in decision-making;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 5:00:17 pm EET,2005,Male,HSC,Technology-IT,Beginner,Daily,ChatGPT,Coding;Personal-Use,Career decisions;Education/learning habits,Yes,Yes,Maybe,2,Maybe,3,Yes,4,Yes,3,Yes,4,Yes,Yes-but-not-completely,Yes,No,Job loss and automation replacing workers;Privacy and data security risks,"No, AI should be allowed to develop freely","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/19 5:04:53 pm EET,1998,Male,Bachelor,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Deep Seek,Education,Education/learning habits,Maybe,Yes,No,1,No,1,Maybe,3,Yes,4,Yes,4,Yes,No,Maybe,Yes,Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/19 7:10:46 pm EET,2000,Male,Bachelor,Student,Beginner,Daily,ChatGPT,Personal-Use,Education/learning habits,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,Yes,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/19 7:44:28 pm EET,2004,Male,Bachelor,Student,None,Never,ChatGPT,Personal-Use,Social media content consumption;None of the above,Maybe,No,No,1,Yes,1,No,1,No,1,No,1,No,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is exciting and beneficial
2025/04/20 4:58:09 am EET,1994,Male,Bachelor,Student,Intermediate,Weekly- A few times,ChatGPT;Gemini;Google Assistant;Grammarly,Personal-Use,Social media content consumption,Yes,Yes,Maybe,2,Maybe,3,Yes,3,Yes,4,Yes,5,No,Yes-but-not-completely,Yes,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/20 5:12:46 am EET,1993,Male,Bachelor,Technology-IT,Beginner,Daily,ChatGPT;Google Assistant,Automation;Data-Analysis;Coding;Personal-Use,Social media content consumption,Maybe,Yes,Yes,3,Yes,3,Yes,3,Yes,3,Yes,3,Yes,Yes-but-not-completely,No,Yes,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"No, AI should be allowed to develop freely","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/20 5:48:21 pm EET,2004,Male,HSC,Student,Intermediate,Daily,ChatGPT;Google Assistant;Grammarly,Personal-Use;Education,Online shopping;Social media content consumption;Education/learning habits,Yes,Yes,Maybe,3,Maybe,2,No,1,Maybe,3,Maybe,3,Yes,Unsure,Maybe,No-Effect-in-my-career,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/20 6:00:37 pm EET,1997,Male,Master,Student,Intermediate,Weekly- A few times,ChatGPT,Personal-Use;Assignment;Education,Online shopping;Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,3,No,2,No,1,Maybe,1,No,1,Yes,Yes-but-not-completely,No,No,Job loss and automation replacing workers;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/20 6:04:43 pm EET,1995,Female,Master,Education,Beginner,Daily,ChatGPT,Personal-Use;Assignment;Education,Online shopping,Maybe,Yes,No,1,Maybe,3,No,1,No,1,Maybe,3,No,Yes-but-not-completely,No,No,Job loss and automation replacing workers;Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Yes, AI should have strong legal restrictions","Yes, AI-generated content should always be labeled",AI-generated content is concerning and threatens human creativity
2025/04/20 6:05:20 pm EET,1999,Male,Master,Marketing-Media,Beginner,Daily,ChatGPT;Grammarly,"Personal-Use;Assignment;Translation, Presentation, Severel Writings",Social media content consumption;Career decisions;Education/learning habits,Yes,Yes,No,2,No,1,No,1,No,1,No,1,Yes,No,Yes,Yes,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes;AI replacing human creativity and originality,"Sometimes, but not too restrictive","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
2025/04/20 6:11:19 pm EET,2000,Female,Bachelor,Education,Beginner,Weekly- A few times,ChatGPT;Grammarly,Personal-Use;Education,None of the above,Yes,Yes,No,1,Maybe,2,Yes,3,No,1,Maybe,2,Yes,No,Maybe,No,Privacy and data security risks;AI bias in decision-making;AI being used for misinformation and deepfakes,"Sometimes, but not too restrictive","Yes, AI-generated content should always be labeled",It depends on how AI is used
2025/04/20 6:15:02 pm EET,2002,Female,Bachelor,Student,Beginner,Daily,ChatGPT,Education,None of the above,Yes,Yes,No,1,No,1,Yes,4,Yes,5,Maybe,2,No,Yes-but-not-completely,No,Yes,Privacy and data security risks,"Yes, AI should have strong legal restrictions","Only in certain cases (e.g., news, official documents)",It depends on how AI is used
